1688540185.343793 server started (24048): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1688540185.343831 on Darwin 22.5.0 Darwin Kernel Version 22.5.0: Thu Jun  8 22:22:19 PDT 2023; root:xnu-8796.121.3~7/RELEASE_ARM64_T8103
1688540185.343844 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1688540185.344215 input_key_build: 0x10e003 (PasteStart) is \033[200~
1688540185.344233 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1688540185.344459 input_key_build: 0x10e195 (F1) is \033OP
1688540185.344470 input_key_build: 0x10e196 (F2) is \033OQ
1688540185.344477 input_key_build: 0x10e197 (F3) is \033OR
1688540185.344484 input_key_build: 0x10e198 (F4) is \033OS
1688540185.344491 input_key_build: 0x10e199 (F5) is \033[15~
1688540185.344498 input_key_build: 0x10e19a (F6) is \033[17~
1688540185.344505 input_key_build: 0x10e19b (F7) is \033[18~
1688540185.344511 input_key_build: 0x10e19c (F8) is \033[19~
1688540185.344518 input_key_build: 0x10e19d (F9) is \033[20~
1688540185.344524 input_key_build: 0x10e19e (F10) is \033[21~
1688540185.344531 input_key_build: 0x10e19f (F11) is \033[23~
1688540185.344537 input_key_build: 0x10e1a0 (F12) is \033[24~
1688540185.344544 input_key_build: 0x10e1a1 (IC) is \033[2~
1688540185.344550 input_key_build: 0x10e1a2 (DC) is \033[3~
1688540185.344557 input_key_build: 0x10e1a3 (Home) is \033[1~
1688540185.344563 input_key_build: 0x10e1a4 (End) is \033[4~
1688540185.344570 input_key_build: 0x10e1a5 (NPage) is \033[6~
1688540185.344576 input_key_build: 0x10e1a6 (PPage) is \033[5~
1688540185.344583 input_key_build: 0x10e1a7 (BTab) is \033[Z
1688540185.344590 input_key_build: 0x10e1a8 (Up) is \033[A
1688540185.344596 input_key_build: 0x10e1a9 (Down) is \033[B
1688540185.344603 input_key_build: 0x10e1aa (Left) is \033[D
1688540185.344609 input_key_build: 0x10e1ab (Right) is \033[C
1688540185.344616 input_key_build: 0x10e1ac (KP/) is /
1688540185.344622 input_key_build: 0x10e1ad (KP*) is *
1688540185.344629 input_key_build: 0x10e1ae (KP-) is -
1688540185.344635 input_key_build: 0x10e1af (KP7) is 7
1688540185.344641 input_key_build: 0x10e1b0 (KP8) is 8
1688540185.344647 input_key_build: 0x10e1b1 (KP9) is 9
1688540185.344654 input_key_build: 0x10e1b2 (KP+) is +
1688540185.344660 input_key_build: 0x10e1b3 (KP4) is 4
1688540185.344667 input_key_build: 0x10e1b4 (KP5) is 5
1688540185.344673 input_key_build: 0x10e1b5 (KP6) is 6
1688540185.344679 input_key_build: 0x10e1b6 (KP1) is 1
1688540185.344685 input_key_build: 0x10e1b7 (KP2) is 2
1688540185.344691 input_key_build: 0x10e1b8 (KP3) is 3
1688540185.344698 input_key_build: 0x10e1b9 (KPEnter) is \n
1688540185.344704 input_key_build: 0x10e1ba (KP0) is 0
1688540185.344710 input_key_build: 0x10e1bb (KP.) is .
1688540185.344717 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1688540185.344724 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1688540185.344730 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1688540185.344737 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1688540185.344743 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1688540185.344750 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1688540185.344756 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1688540185.344763 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1688540185.344769 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1688540185.344775 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1688540185.344782 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1688540185.344788 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1688540185.344795 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
